Time,Temperature,Insolation
9/22/23 13:05,23.7,428.7
9/22/23 13:10,24.2,384.1
9/22/23 13:15,23.9,374.9
9/22/23 13:20,24,368.1
9/22/23 13:25,23.8,346
9/22/23 13:30,23.8,323.2
9/22/23 13:35,23.4,309.2
9/22/23 13:40,23.4,299.8
9/22/23 13:45,23.5,295.9
9/22/23 13:50,23.7,264.6
9/22/23 13:55,23.5,242.5
9/22/23 14:00,23.4,239.7
9/22/23 14:05,23.2,247.8
9/22/23 14:10,23.2,260.4
9/22/23 14:15,23.5,260.3
9/22/23 14:20,23.4,248.8
9/22/23 14:25,22.9,229.8
9/22/23 14:30,23,216.5
9/22/23 14:35,22.6,201.8
9/22/23 14:40,22,199.9
9/22/23 14:45,21.6,217
9/22/23 14:50,21.2,262.2
9/22/23 14:55,20.9,278.4
9/22/23 15:00,20.9,295.5
9/22/23 15:05,21.4,269.3
9/22/23 15:10,21.2,277.1
9/22/23 15:15,21.1,289.9
9/22/23 15:20,21,275
9/22/23 15:25,21,260.1
9/22/23 15:30,20.9,251.9
9/22/23 15:35,20.6,239.6
9/22/23 15:40,20.5,224
9/22/23 15:45,20.6,207.9
9/22/23 15:50,20.5,231.4
9/22/23 15:55,20.5,218.4
9/22/23 16:00,20.5,195.1
9/22/23 16:05,20.4,180
9/22/23 16:10,20.3,171.8
9/22/23 16:15,20.4,182
9/22/23 16:20,20.5,185.5
9/22/23 16:25,20.7,180.5
9/22/23 16:30,20.7,182
9/22/23 16:35,20.9,161.8
9/22/23 16:40,20.7,156.7
9/22/23 16:45,20.7,148.4
9/22/23 16:50,20.6,123.3
9/22/23 16:55,20.5,92.7
9/22/23 17:00,20.6,78.4
9/22/23 17:05,20.5,75.1
9/22/23 17:10,20.5,69.6
9/22/23 17:15,20.4,65.2
9/22/23 17:20,20.4,60.7
9/22/23 17:25,20.1,51.4
9/22/23 17:30,20.1,45
9/22/23 17:35,20.1,44
9/22/23 17:40,20,41.9
9/22/23 17:45,19.9,38
9/22/23 17:50,20,32.8
9/22/23 17:55,19.9,30.3
9/22/23 18:00,19.9,26.8
9/22/23 18:05,19.9,27.1
9/22/23 18:10,19.8,29.4
9/22/23 18:15,19.8,28.4
9/22/23 18:20,19.9,28.2
9/22/23 18:25,19.9,28.5
9/22/23 18:30,19.8,20.3
9/22/23 18:35,19.8,13.3
9/22/23 18:40,19.8,7
9/22/23 18:45,19.7,4.6
9/22/23 18:50,19.7,3.4
9/22/23 18:55,19.7,1.8
9/22/23 19:00,19.6,0.3
9/22/23 19:05,19.6,0.1
9/22/23 19:10,19.5,0
9/22/23 19:15,19.4,0
9/22/23 19:20,19.4,0
9/22/23 19:25,19.4,0
9/22/23 19:30,19.3,0
9/22/23 19:35,19.2,0
9/22/23 19:40,19.2,0
9/22/23 19:45,19.2,0
9/22/23 19:50,19.2,0
9/22/23 19:55,19.2,0
9/22/23 20:00,19.3,0
9/22/23 20:05,19.3,0
9/22/23 20:10,19.4,0
9/22/23 20:15,19.6,0
9/22/23 20:20,19.6,0
